OriginLat,OriginLong,DestinationLat,DestinationLong,InterestCount%,AM%,PM%
36.90243783783784,-78.65719,39.11,-77.284,0.0,0.0,0.0
39.0646,-78.65719,38.92981981981982,-77.01881603757707,0.0,0.001,0.0
39.0646,-77.07157583122863,38.92981981981982,-77.284,0.0,0.020,0.013
38.92981981981982,-77.284,37.98351891891892,-75.39570264862486,0.0,0.004,0.002
38.74963963963964,-76.75116594155521,36.90243783783784,-75.3001552409644,0.0,0.002,0.000
36.90243783783784,-76.9786726204822,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
38.74963963963964,-76.75116594155521,36.90243783783784,-78.65719,0.0,0.008,0.012
36.90243783783784,-75.3001552409644,38.92981981981982,-76.75363207515413,0.0,0.0,0.0
38.92981981981982,-76.75363207515413,37.98351891891892,-78.65719,0.0,0.034,0.039
39.11,-76.75607548574631,39.0646,-77.07157583122863,0.0,0.005,0.002
36.90243783783784,-78.65719,39.11,-76.75607548574631,0.0,0.0,0.0
38.92981981981982,-76.75363207515413,36.90243783783784,-76.9786726204822,0.0,0.014,0.007
39.11,-76.75607548574631,36.90243783783784,-75.3001552409644,0.0,0.001,0.004
38.92981981981982,-76.75363207515413,37.98351891891892,-77.02644632431243,0.0,0.001,0.002
39.11,-77.02003774287316,36.90243783783784,-75.3001552409644,0.0,0.001,0.002
38.74963963963964,-77.284,37.98351891891892,-75.39570264862486,0.0,0.004,0.003
39.11,-77.02003774287316,39.0646,-75.48596166245726,0.0,0.006,0.006
39.11,-77.284,37.98351891891892,-78.65719,0.0,0.000,0.002
38.92981981981982,-77.284,36.90243783783784,-75.3001552409644,0.0,0.001,0.001
38.74963963963964,-77.01758297077761,37.98351891891892,-77.02644632431243,0.0,0.007,0.006
39.0646,-77.07157583122863,38.74963963963964,-77.01758297077761,0.0,0.006,0.004
39.11,-77.284,39.0646,-75.48596166245726,0.0,0.001,0.001
39.11,-76.75607548574631,39.0646,-75.48596166245726,0.0,0.001,0.000
36.90243783783784,-78.65719,38.74963963963964,-77.284,0.0,0.0,0.0
37.98351891891892,-78.65719,38.74963963963964,-76.75116594155521,0.0,0.001,0.0
37.98351891891892,-77.02644632431243,38.92981981981982,-77.01881603757707,0.0,0.0,0.000
36.90243783783784,-75.3001552409644,39.11,-77.284,0.0,0.0,0.0
37.98351891891892,-78.65719,39.11,-77.02003774287316,0.0,0.0,0.0
39.11,-77.284,37.98351891891892,-77.02644632431243,0.0,0.033,0.032
37.98351891891892,-75.39570264862486,38.74963963963964,-77.01758297077761,0.0,0.0,0.000
38.74963963963964,-77.284,37.98351891891892,-77.02644632431243,0.0,0.013,0.013
37.98351891891892,-75.39570264862486,39.11,-77.02003774287316,0.0,0.0,0.0
38.74963963963964,-77.01758297077761,39.0646,-75.48596166245726,0.0,0.023,0.025
36.90243783783784,-76.9786726204822,38.92981981981982,-77.01881603757707,0.0,0.000,0.0
39.11,-76.75607548574631,39.0646,-78.65719,0.0,0.002,0.003
36.90243783783784,-76.9786726204822,38.92981981981982,-77.284,0.0,0.0,0.0
36.90243783783784,-76.9786726204822,39.11,-76.75607548574631,0.0,0.0,0.0
39.11,-77.02003774287316,36.90243783783784,-78.65719,0.0,0.024,0.035
38.74963963963964,-77.284,36.90243783783784,-78.65719,0.0,0.002,0.001
37.98351891891892,-75.39570264862486,39.11,-77.284,0.0,0.0,0.0
38.74963963963964,-77.01758297077761,39.0646,-78.65719,0.0,0.012,0.010
36.90243783783784,-75.3001552409644,38.74963963963964,-77.284,0.0,0.0,0.0
38.92981981981982,-77.01881603757707,36.90243783783784,-75.3001552409644,0.0,0.002,0.003
38.92981981981982,-77.01881603757707,39.0646,-78.65719,0.0,0.004,0.005
38.74963963963964,-76.75116594155521,37.98351891891892,-78.65719,0.0,0.001,0.0
38.74963963963964,-76.75116594155521,37.98351891891892,-77.02644632431243,0.0,0.011,0.006
39.0646,-78.65719,39.11,-77.02003774287316,0.0,0.004,0.0
39.0646,-78.65719,38.92981981981982,-77.284,0.0,0.000,0.0
39.0646,-78.65719,39.11,-76.75607548574631,0.0,0.000,0.0
36.90243783783784,-75.3001552409644,38.92981981981982,-77.01881603757707,0.0,0.0,0.0
39.11,-76.75607548574631,36.90243783783784,-78.65719,0.0,0.020,0.016
38.74963963963964,-77.01758297077761,37.98351891891892,-78.65719,0.0,0.002,0.007
38.74963963963964,-77.284,39.0646,-75.48596166245726,0.0,0.003,0.002
38.92981981981982,-77.01881603757707,36.90243783783784,-76.9786726204822,0.0,0.000,0.001
36.90243783783784,-78.65719,38.92981981981982,-77.284,0.0,0.0,0.0
37.98351891891892,-77.02644632431243,38.74963963963964,-77.01758297077761,0.0,0.0,0.0
37.98351891891892,-75.39570264862486,38.74963963963964,-77.284,0.0,0.0,0.0
39.11,-77.284,36.90243783783784,-76.9786726204822,0.0,0.015,0.010
37.98351891891892,-75.39570264862486,38.92981981981982,-77.284,0.0,0.0,0.0
39.11,-77.284,39.0646,-77.07157583122863,0.0,0.038,0.028
38.92981981981982,-76.75363207515413,37.98351891891892,-75.39570264862486,0.0,0.000,0.000
38.74963963963964,-77.01758297077761,36.90243783783784,-75.3001552409644,0.0,0.007,0.007
37.98351891891892,-77.02644632431243,39.11,-77.02003774287316,0.0,0.000,0.0
39.11,-77.02003774287316,39.0646,-78.65719,0.0,0.018,0.019
38.92981981981982,-77.284,37.98351891891892,-77.02644632431243,0.0,0.002,0.003
37.98351891891892,-77.02644632431243,39.11,-77.284,0.0,0.0,0.0
39.11,-76.75607548574631,37.98351891891892,-78.65719,0.0,0.009,0.006
38.92981981981982,-77.01881603757707,37.98351891891892,-75.39570264862486,0.0,0.001,0.000
37.98351891891892,-78.65719,38.74963963963964,-77.284,0.0,0.001,0.0
38.92981981981982,-76.75363207515413,39.0646,-78.65719,0.0,0.004,0.003
36.90243783783784,-78.65719,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
39.0646,-78.65719,39.11,-77.284,0.0,0.000,0.0
39.11,-77.02003774287316,37.98351891891892,-77.02644632431243,0.0,0.012,0.011
38.92981981981982,-77.01881603757707,36.90243783783784,-78.65719,0.0,0.000,0.001
38.74963963963964,-77.284,36.90243783783784,-76.9786726204822,0.0,0.011,0.018
36.90243783783784,-75.3001552409644,38.92981981981982,-77.284,0.0,0.0,0.0
39.0646,-75.48596166245726,38.92981981981982,-76.75363207515413,0.0,0.000,0.0
39.0646,-75.48596166245726,38.74963963963964,-77.284,0.0,0.0,0.0
39.0646,-75.48596166245726,38.74963963963964,-77.01758297077761,0.0,0.0,0.0
39.0646,-77.07157583122863,39.11,-77.284,0.0,0.036,0.033
38.74963963963964,-77.01758297077761,37.98351891891892,-75.39570264862486,0.0,0.005,0.007
38.74963963963964,-77.284,39.0646,-78.65719,0.0,0.017,0.011
37.98351891891892,-75.39570264862486,38.92981981981982,-76.75363207515413,0.0,0.0,0.0
39.0646,-78.65719,38.74963963963964,-77.01758297077761,0.0,0.000,0.0
38.74963963963964,-77.01758297077761,36.90243783783784,-76.9786726204822,0.0,0.006,0.003
38.92981981981982,-76.75363207515413,36.90243783783784,-78.65719,0.0,0.009,0.012
37.98351891891892,-75.39570264862486,39.11,-76.75607548574631,0.0,0.0,0.0
37.98351891891892,-78.65719,39.11,-76.75607548574631,0.0,0.000,0.000
39.11,-77.02003774287316,36.90243783783784,-76.9786726204822,0.0,0.030,0.025
38.74963963963964,-76.75116594155521,39.0646,-78.65719,0.0,0.004,0.008
38.92981981981982,-77.284,36.90243783783784,-78.65719,0.0,0.002,0.002
37.98351891891892,-77.02644632431243,38.92981981981982,-77.284,0.0,0.000,0.0
38.92981981981982,-77.284,39.0646,-75.48596166245726,0.0,0.027,0.027
39.0646,-77.07157583122863,39.11,-77.02003774287316,0.0,0.011,0.010
39.11,-77.02003774287316,39.0646,-77.07157583122863,0.0,0.000,0.001
39.0646,-77.07157583122863,38.74963963963964,-77.284,0.0,0.015,0.019
38.74963963963964,-77.284,37.98351891891892,-78.65719,0.0,0.002,0.001
37.98351891891892,-78.65719,38.74963963963964,-77.01758297077761,0.0,0.001,0.0
39.0646,-77.07157583122863,38.92981981981982,-76.75363207515413,0.0,0.015,0.016
37.98351891891892,-78.65719,39.11,-77.284,0.0,0.000,0.0
38.92981981981982,-77.01881603757707,37.98351891891892,-78.65719,0.0,0.008,0.003
37.98351891891892,-77.02644632431243,39.11,-76.75607548574631,0.0,0.0,0.0
36.90243783783784,-75.3001552409644,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
39.0646,-77.07157583122863,39.11,-76.75607548574631,0.0,0.006,0.007
36.90243783783784,-78.65719,39.11,-77.02003774287316,0.0,0.0,0.0
39.11,-77.284,36.90243783783784,-78.65719,0.0,0.011,0.012
38.74963963963964,-77.01758297077761,36.90243783783784,-78.65719,0.0,0.001,0.001
36.90243783783784,-76.9786726204822,38.74963963963964,-77.284,0.0,0.0,0.0
37.98351891891892,-75.39570264862486,38.92981981981982,-77.01881603757707,0.0,0.0,0.0
39.11,-76.75607548574631,36.90243783783784,-76.9786726204822,0.0,0.006,0.008
37.98351891891892,-77.02644632431243,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
36.90243783783784,-76.9786726204822,39.11,-77.02003774287316,0.0,0.0,0.0
38.74963963963964,-76.75116594155521,36.90243783783784,-76.9786726204822,0.0,0.014,0.024
38.92981981981982,-77.284,39.0646,-77.07157583122863,0.0,0.000,0.001
38.74963963963964,-76.75116594155521,37.98351891891892,-75.39570264862486,0.0,0.002,0.001
39.0646,-75.48596166245726,38.92981981981982,-77.284,0.0,0.0,0.0
39.0646,-75.48596166245726,39.11,-77.284,0.0,0.0,0.0
39.0646,-77.07157583122863,38.92981981981982,-77.01881603757707,0.0,0.014,0.015
36.90243783783784,-78.65719,38.92981981981982,-77.01881603757707,0.0,0.0,0.0
36.90243783783784,-76.9786726204822,39.11,-77.284,0.0,0.0,0.0
38.92981981981982,-77.01881603757707,39.0646,-77.07157583122863,0.0,0.007,0.008
37.98351891891892,-75.39570264862486,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
39.0646,-78.65719,38.74963963963964,-76.75116594155521,0.0,0.003,0.0
38.74963963963964,-77.284,36.90243783783784,-75.3001552409644,0.0,0.021,0.031
38.92981981981982,-77.284,37.98351891891892,-78.65719,0.0,0.010,0.011
37.98351891891892,-78.65719,38.92981981981982,-77.284,0.0,0.000,0.0
39.11,-77.02003774287316,37.98351891891892,-78.65719,0.0,0.010,0.011
36.90243783783784,-76.9786726204822,38.74963963963964,-77.01758297077761,0.0,0.0,0.0
38.92981981981982,-77.284,39.0646,-78.65719,0.0,0.006,0.006
37.98351891891892,-77.02644632431243,38.92981981981982,-76.75363207515413,0.0,0.0,0.0
38.92981981981982,-76.75363207515413,39.0646,-75.48596166245726,0.0,0.017,0.010
39.0646,-75.48596166245726,38.74963963963964,-76.75116594155521,0.0,0.0,0.0
38.92981981981982,-77.01881603757707,37.98351891891892,-77.02644632431243,0.0,0.043,0.041
36.90243783783784,-75.3001552409644,38.74963963963964,-77.01758297077761,0.0,0.0,0.0
39.0646,-75.48596166245726,39.11,-77.02003774287316,0.0,0.0,0.000
39.0646,-78.65719,38.74963963963964,-77.284,0.0,0.002,0.0
36.90243783783784,-78.65719,38.74963963963964,-77.01758297077761,0.0,0.0,0.0
39.0646,-78.65719,38.92981981981982,-76.75363207515413,0.0,0.001,0.0
39.0646,-75.48596166245726,38.92981981981982,-77.01881603757707,0.0,0.0,0.0
37.98351891891892,-78.65719,38.92981981981982,-77.01881603757707,0.0,0.000,0.000
39.0646,-75.48596166245726,39.11,-76.75607548574631,0.0,0.0,0.0
39.11,-77.284,36.90243783783784,-75.3001552409644,0.0001,0.086,0.110
39.11,-76.75607548574631,37.98351891891892,-77.02644632431243,0.0,0.015,0.013
38.74963963963964,-76.75116594155521,39.0646,-77.07157583122863,0.0,0.008,0.004
38.74963963963964,-76.75116594155521,39.0646,-75.48596166245726,0.0,0.001,0.000
39.11,-77.02003774287316,37.98351891891892,-75.39570264862486,0.0,0.008,0.017
38.92981981981982,-77.01881603757707,39.0646,-75.48596166245726,0.0,0.002,0.002
36.90243783783784,-76.9786726204822,38.92981981981982,-76.75363207515413,0.0,0.000,0.0
36.90243783783784,-75.3001552409644,39.11,-77.02003774287316,0.0,0.0,0.0
38.92981981981982,-77.284,36.90243783783784,-76.9786726204822,0.0,0.019,0.018
39.11,-77.284,37.98351891891892,-75.39570264862486,0.0,0.000,0.001
39.11,-77.284,39.0646,-78.65719,0.0,0.002,0.002
37.98351891891892,-77.02644632431243,38.74963963963964,-77.284,0.0,0.000,0.0
38.92981981981982,-76.75363207515413,36.90243783783784,-75.3001552409644,0.0,0.013,0.013
38.74963963963964,-77.01758297077761,39.0646,-77.07157583122863,0.0,0.001,0.004
37.98351891891892,-78.65719,38.92981981981982,-76.75363207515413,0.0,0.000,0.0
38.92981981981982,-76.75363207515413,39.0646,-77.07157583122863,0.0,0.022,0.019
39.0646,-77.07157583122863,38.74963963963964,-76.75116594155521,0.0,0.002,0.001
36.90243783783784,-78.65719,38.92981981981982,-76.75363207515413,0.0,0.0,0.0
36.90243783783784,-75.3001552409644,39.11,-76.75607548574631,0.0,0.0,0.0
39.11,-76.75607548574631,37.98351891891892,-75.39570264862486,0.0,0.007,0.008
38.74963963963964,-77.284,39.0646,-77.07157583122863,0.0,0.006,0.003
